waste,wst_oper,unit,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 
EE_ATD,COL,KG_HAB,AT	: 	0.03 	0.02 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0 	0.02 	0.01 	0.01 	0 
EE_ATD,COL,KG_HAB,BE	: 	0.04 	0.07 	0.06 	0.24 	0.21 	0.17 	0.15 	0.12 	0.19 	0.03 	0 	: 	: 
EE_ATD,COL,KG_HAB,BG	: 	0.03 	0.02 	0.02 d	0 d	0.02 	0.04 	0.03 	0.03 	0.01 	: 	: 	: 	: 
EE_ATD,COL,KG_HAB,CY	: 	0 	0 	0.08 	0.01 	0.01 	0.02 	0.01 	0 	0 	0 	0 	: 	: 
EE_ATD,COL,KG_HAB,CZ	: 	0.01 	0.03 	0.02 	0 	0 	0.01 	0.01 	0.01 	0 	0 	0 	: 	: 
EE_ATD,COL,KG_HAB,DE	: 	0.01 	0.02 	0.06 	0.07 	0.05 	0.05 	0.05 	0.05 	0.09 	0.07 	0.04 	0.08 	: 
EE_ATD,COL,KG_HAB,DK	: 	0 	0 	0 	0 	0 	0.01 	0.01 	0 	0 	0 	0 	0.01 	: 
EE_ATD,COL,KG_HAB,EE	: 	0.01 	0 	0 	0 	0 	0 	0 	0 	0 	0.08 	0 	0 	: 
EE_ATD,COL,KG_HAB,EL	: 	0.06 	0.05 d	0.04 	0.02 d	0.02 d	0.02 d	0.02 d	0.01 	0.03 	0.03 	0.04 	0.01 	0 
EE_ATD,COL,KG_HAB,ES	: 	0.04 	0.05 	0.07 	0.23 	0 	0.15 	0 	0 	0.01 	0.01 	0.01 	: 	: 
EE_ATD,COL,KG_HAB,EU27_2020	: 	0.04 s	0.04 s	0.05 	0.06 	0.03 	0.05 	0.03 	: 	: 	: 	: 	: 	: 
EE_ATD,COL,KG_HAB,EU28	: 	0.03 s	0.03 s	0.04 	0.06 	0.03 	0.04 	0.03 	: 	: 	: 	: 	: 	: 
EE_ATD,COL,KG_HAB,FI	: 	0.09 	0.12 	0.11 	0.13 	0.07 	0.07 	0.09 	0.04 	0.09 	0.1 	0.08 	0.09 	0.03 
EE_ATD,COL,KG_HAB,FR	: 	0.05 	0.04 	0.04 	0.03 	0.02 	0.01 	0.02 	0.01 	0.01 	0.01 	0.02 	0.01 	: 
EE_ATD,COL,KG_HAB,HR	: 	0.03 	0.03 	0.04 	0.01 	0.01 	0.04 	0.03 	: 	: 	: 	: 	: 	: 
EE_ATD,COL,KG_HAB,HU	: 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0 	0 	0 	0 	0 	0.01 	0 
EE_ATD,COL,KG_HAB,IE	: 	0.1 	0.07 	0.5 e	0.13 	0.24 	0.11 	0.03 	0.2 	0.06 	0.34 	0.46 	: 	: 
EE_ATD,COL,KG_HAB,IS	: 	0.01 	0.01 	0.01 	0 	0 	0.04 	0.03 	0.02 	0 	: 	: 	: 	: 
EE_ATD,COL,KG_HAB,IT	: 	: 	: 	0.05 	0.03 	0 	0 	0 	0 	0 	0.01 	0 	: 	: 
EE_ATD,COL,KG_HAB,LI	: 	: 	: 	: d	: 	: 	0 d	0 d	0 d	0 d	: 	: 	: 	: 
EE_ATD,COL,KG_HAB,LT	: 	0.04 	0.02 	0.02 	0.01 	0.01 	0.01 	0.01 	0 	0.01 	0.01 	0 	0 	0 
EE_ATD,COL,KG_HAB,LU	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
EE_ATD,COL,KG_HAB,LV	: 	0.03 	0.02 	0.02 	0.02 	0.06 	0.08 	0.07 	0.02 	0.03 	0.02 	0.02 	: 	: 
EE_ATD,COL,KG_HAB,MT	: 	0.02 	0.03 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
